Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('T3', 1)_alpha	('T3', 1)_xi	('T3', 1)_sigma	('T3', 2)_alpha	('T3', 2)_xi	('T3', 2)_sigma	('T3', 3)_alpha	('T3', 3)_xi	('T3', 3)_sigma
100.0	-9363.3173828125	-3366.4951171875	-3866.587646484375	-2130.234375	0.6681647300720215	0.647365391254425	0.2358928620815277	0.9869993329048157	1.0214412212371826	0.005970626138150692	1.4278039932250977	1.3957771062850952	0.005828222259879112	1.6567418575286865	1.661093831062317	0.006016932427883148
200.0	-9785.7216796875	-3448.63330078125	-4024.37939453125	-2312.708984375	0.720221221446991	0.6934623122215271	0.30808258056640625	0.9315797090530396	1.0455254316329956	0.005810309201478958	1.4029687643051147	1.4006853103637695	0.005614864639937878	1.6907926797866821	1.671435832977295	0.006010961253196001
300.0	-10156.33984375	-3486.263916015625	-4211.4697265625	-2458.6064453125	0.7529063820838928	0.7488574385643005	0.3769313097000122	0.8879213929176331	1.067517876625061	0.0056047141551971436	1.373504400253296	1.4066272974014282	0.005314491223543882	1.7211507558822632	1.6844632625579834	0.006002467591315508
400.0	-10474.982421875	-3511.376220703125	-4384.7509765625	-2578.85498046875	0.7760136127471924	0.8042750358581543	0.4421018064022064	0.8495059013366699	1.0884411334991455	0.005370981991291046	1.344067096710205	1.4130070209503174	0.004924245644360781	1.7509398460388184	1.699313759803772	0.005991905461996794
500.0	-10702.80078125	-3530.990234375	-4509.60888671875	-2662.201416015625	0.7935466766357422	0.8496971726417542	0.49638667702674866	0.8140676021575928	1.1088873147964478	0.005122131202369928	1.318972110748291	1.4194681644439697	0.004448625724762678	1.786470890045166	1.7154384851455688	0.005979330278933048
600.0	-10841.806640625	-3546.85791015625	-4587.34375	-2707.605224609375	0.8074012398719788	0.8796560764312744	0.5304508209228516	0.7809605002403259	1.1291556358337402	0.004872125107795	1.300124168395996	1.4259458780288696	0.003917727619409561	1.8323452472686768	1.732646107673645	0.00596481142565608
700.0	-10932.068359375	-3559.35009765625	-4635.64501953125	-2737.07373046875	0.8186444640159607	0.8944305777549744	0.5462777614593506	0.7502445578575134	1.1494104862213135	0.00463654613122344	1.2868971824645996	1.4325854778289795	0.003384649520739913	1.8852477073669434	1.7511121034622192	0.00594845088198781
800.0	-10998.0068359375	-3568.638671875	-4666.05712890625	-2763.311767578125	0.8279869556427002	0.8969702124595642	0.5538873672485352	0.7223258018493652	1.169755458831787	0.004430876113474369	1.2776744365692139	1.4395983219146729	0.0029132149647921324	1.9391170740127563	1.7710415124893188	0.00593029847368598
900.0	-11047.4599609375	-3575.16796875	-4683.8115234375	-2788.48046875	0.8359853029251099	0.8923178911209106	0.5590537190437317	0.6977443695068359	1.1902704238891602	0.004266907460987568	1.2703156471252441	1.4471564292907715	0.002564935712143779	1.9913371801376343	1.7924693822860718	0.005910350941121578
1000.0	-11085.828125	-3579.6865234375	-4693.166015625	-2812.97607421875	0.8431175947189331	0.8862224817276001	0.5634069442749023	0.6770117282867432	1.2110308408737183	0.004149037413299084	1.2627400159835815	1.4553248882293701	0.002367882989346981	2.041541337966919	1.8153361082077026	0.005888574756681919
1100.0	-11119.2744140625	-3582.984130859375	-4699.2998046875	-2836.989990234375	0.8497889041900635	0.8816300630569458	0.5673012733459473	0.6604665517807007	1.2321096658706665	0.004073326010257006	1.25407075881958	1.4640777111053467	0.0022864262573421	2.0899224281311035	1.839559555053711	0.005864923354238272
1200.0	-11151.203125	-3585.64794921875	-4704.9130859375	-2860.64306640625	0.8563115000724792	0.8785013556480408	0.5708392262458801	0.6481778621673584	1.253575086593628	0.004030235577374697	1.2445443868637085	1.4733614921569824	0.002260345732793212	2.136732816696167	1.865057349205017	0.0058393413200974464
1300.0	-11182.5703125	-3588.01806640625	-4710.5400390625	-2884.011962890625	0.8628958463668823	0.8760490417480469	0.5740775465965271	0.6399111747741699	1.2754857540130615	0.004008983261883259	1.234627366065979	1.4831331968307495	0.0022532560396939516	2.182199716567993	1.89175283908844	0.005811766255646944
1400.0	-11213.6298828125	-3590.2587890625	-4716.2255859375	-2907.1455078125	0.8696708679199219	0.8738067150115967	0.5770594477653503	0.6351723074913025	1.2978894710540771	0.004000591114163399	1.2246320247650146	1.4933669567108154	0.0022515461314469576	2.2265210151672363	1.9195719957351685	0.005782132502645254
