Iteration	Total_Loss	fm1_Loss	fm2_Loss	Lambda_hyp_1	Lambda_hyp_2	('sensor 2', 1)_alpha	('sensor 2', 1)_xi	('sensor 2', 1)_sigma	('sensor 2', 2)_alpha	('sensor 2', 2)_xi	('sensor 2', 2)_sigma
100.0	12832671.0	5402986.5	7429684.5	0.9029258489608765	0.07871933281421661	1.8691078424453735	1.7965853214263916	0.006620173808187246	1.1442153453826904	1.6763886213302612	0.005908159539103508
200.0	11197746.0	4988377.5	6209369.0	0.9021487236022949	0.10073162615299225	1.871526837348938	1.7944046258926392	0.0071987584233284	1.1497288942337036	1.676352858543396	0.005910914856940508
300.0	10010593.0	4592995.5	5417597.5	0.9012564420700073	0.12074702233076096	1.874579668045044	1.7917163372039795	0.007848041132092476	1.155922293663025	1.6763161420822144	0.005914042238146067
400.0	9113064.0	4248457.0	4864607.0	0.9003154039382935	0.13884036242961884	1.8781224489212036	1.788670539855957	0.00851588323712349	1.1625193357467651	1.676268458366394	0.00591772235929966
500.0	8406292.0	3953900.75	4452391.5	0.8993531465530396	0.1553921103477478	1.8820858001708984	1.7853419780731201	0.009181205183267593	1.1694178581237793	1.6762207746505737	0.005921912379562855
600.0	7832574.5	3702419.5	4130155.0	0.8983795046806335	0.17070527374744415	1.886433482170105	1.781765103340149	0.009835785254836082	1.1765704154968262	1.6761730909347534	0.005926588550209999
700.0	7355931.0	3486619.25	3869312.0	0.8973994255065918	0.18499918282032013	1.8911455869674683	1.777963638305664	0.010476900264620781	1.183951497077942	1.676123857498169	0.0059317415580153465
800.0	6951385.5	3298865.5	3652520.0	0.8964129090309143	0.19843250513076782	1.89621102809906	1.773947834968567	0.011104228906333447	1.1915476322174072	1.6760642528533936	0.005937368143349886
900.0	6602705.0	3134089.0	3468616.25	0.8954190611839294	0.21112149953842163	1.9016236066818237	1.7697200775146484	0.011718470603227615	1.1993517875671387	1.6760046482086182	0.005943468771874905
1000.0	6298379.0	2988326.75	3310052.0	0.894415020942688	0.22315281629562378	1.9073803424835205	1.7652837038040161	0.012320751324295998	1.2073607444763184	1.6759450435638428	0.005950048100203276
