Unit,CMGP-Cox,NN_joint(ideal),DeepSurv,DeepBranched,Cox
51,0.7560877799987793,0.2606277465820312,7.951088905730463,3.527077955552576,7.547271415195244
52,0.1901702880859375,2.2708520889282227,13.017866636735024,2.466255230937577,2.831462621865844
53,0.8309059143066406,2.386350631713867,7.530038973768679,28.45383031415309,9.889781952
54,0.7751936912536621,17.852844715118408,41.13253520315608,18.979664296314574,6.727464392923103
55,0.2001466751098632,1.5123391151428225,15.960149573810549,0.582380662572989,5.163057387344391
56,0.1947970390319824,0.5732817649841309,14.306642481381022,2.9457603453739787,6.792977564141826
57,0.9358644485473632,1.3730401992797852,11.503569819310222,3.979568158398904,8.821056735058463
58,1.0987844467163086,2.0431604385375977,6.18348826064274,0.8106198528222226,9.537956740038045
59,0.2618298530578613,1.3096675872802734,8.425306320558594,2.439646387158979,4.97104966603656
60,0.1570172309875488,2.718662738800049,11.721539707480469,2.132157039886616,1.0146224495782468
111,3.0586929321289062,1.119001388549805,23.128204342851564,9.889805308706084,22.313047411909174
112,1.072723388671875,11.971885681152344,2.152408029895021,5.209024031975375,40.83804932012062
113,2.861358642578125,15.351688385009766,4.620883596618832,29.273521117105084,44.60402679
114,0.2419357299804687,13.149984359741213,8.011898039560549,5.478802366351559,42.32569123925663
115,0.4437904357910156,10.669057846069336,3.486725043400881,4.002276178457095,39.66384774531448
116,0.2138214111328125,5.868289947509766,15.109541316328134,1.3148370132290594,33.223080401124875
117,0.3211135864257812,8.86086654663086,11.512551876953133,2.976737026591728,37.52868217522812
118,0.2944717407226562,4.651676177978516,15.493649601992182,0.9964178715207056,31.705927605573123
119,4.202503204345703,17.796627044677734,2.725968994877121,5.8096426101333165,47.04726006806816
120,0.5078182220458984,1.9786415100097656,16.8936593643164,0.759215598069666,26.452673433687742
