Unit,CMGP-Cox,NN_joint(ideal),DeepSurv,DeepBranched,Cox
51,0.5786700248718262,0.2606277465820312,7.951088905730463,3.527077955552576,7.547271415195244
52,0.2902569770812988,2.270852565765381,13.017866636735024,2.466255230937577,2.831462621865844
54,0.4659490585327148,20.26125955581665,41.13253520315608,18.979664296314574,6.727464392923103
55,0.0403227806091308,1.5123372077941897,15.960149573810549,0.582380662572989,5.163057387344391
56,0.1748108863830566,0.5732817649841309,14.306642481381022,2.9457603453739787,6.792977564141826
57,0.4400253295898437,1.3730401992797852,11.503569819310222,3.979568158398904,8.821056735058463
58,0.6705989837646484,2.0431604385375977,6.18348826064274,0.8106198528222226,9.537956740038045
59,0.2945036888122558,1.309173583984375,8.425306320558594,2.439646387158979,4.97104966603656
60,0.326540470123291,2.718662738800049,11.721539707480469,2.132157039886616,1.0146224495782468
111,3.492757797241211,1.1248130798339844,23.128204342851564,9.889805308706084,22.313047411909174
112,0.8147964477539062,11.971885681152344,2.152408029895021,5.209024031975375,40.83804932012062
114,0.2470855712890625,13.149982452392578,8.011898039560549,5.478802366351559,42.32569123925663
115,0.45477294921875,10.669057846069336,3.486725043400881,4.002276178457095,39.66384774531448
116,0.1230850219726562,5.868032455444336,15.109541316328134,1.3148370132290594,33.223080401124875
117,0.2469406127929687,8.86086654663086,11.512551876953133,2.976737026591728,37.52868217522812
118,0.5851211547851562,4.651676177978516,15.493649601992182,0.9964178715207056,31.705927605573123
119,3.3948631286621094,17.796627044677734,2.725968994877121,5.8096426101333165,47.04726006806816
120,0.1595363616943359,1.9786396026611328,16.8936593643164,0.759215598069666,26.452673433687742
