Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis)
51,0.8472222089767456,1.0,0.9583333134651184
52,0.921875,0.265625,0.3125
54,0.8857142925262451,0.7714285850524902,0.7571428418159485
55,0.9242424368858336,0.3181818127632141,0.3484848737716675
56,0.8571428656578064,0.7714285850524902,0.7571428418159485
57,0.75,1.0,1.0
58,0.8717948794364929,1.0,1.0
59,0.9104477167129515,0.0149253727868199,0.0149253727868199
60,0.9838709235191344,0.2419354766607284,0.0161290317773818
111,0.954023003578186,0.0114942528307437,0.6551724076271057
112,0.9195402264595032,0.3103448152542114,0.2643678188323974
114,1.0,0.2988505661487579,0.2643678188323974
115,1.0,0.3678160905838012,0.3103448152542114
116,1.0,0.5517241358757019,0.517241358757019
117,1.0,0.4597701132297516,0.4252873659133911
118,1.0,0.5747126340866089,0.540229856967926
119,0.9655172228813172,0.2988505661487579,0.2643678188323974
120,1.0,0.6321839094161987,0.5862069129943848
