Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis),DeepSurv,DeepBranched,Cox
51,0.2438545227050781,10.104705810546877,8.955741882324219,19.25792575421142,10.886707592319375,36.22312417683792
52,1.331756591796875,6.336574554443359,5.158683776855469,31.708850102539067,9.08505877516984,32.08827077854156
53,0.9372787475585938,12.939949035644531,11.762435913085938,20.683228424621586,37.48685929034149,39.07848561661148
54,2.335987091064453,33.61314010620117,33.25624465942383,54.46706761486816,75.09405773369956,34.81282832257462
55,0.1575736999511718,33.64298248291016,33.23799133300781,45.23624000976562,27.793800871284603,33.42241038848877
56,1.5785865783691406,12.354110717773438,12.64459228515625,39.65305994287108,38.57942625935054,34.87712415918732
57,0.9536972045898438,11.438255310058594,10.314537048339844,39.14047145831298,15.655631946504007,37.45739225161362
58,2.878459930419922,12.480545043945312,11.357929229736328,18.942449721679694,15.45955829564572,38.63397096694946
59,1.4148025512695312,7.912311553955078,6.732494354248047,15.236640455078124,9.89755782533384,33.793429253746034
60,1.3306732177734375,5.720928192138672,4.538921356201172,23.91760367724609,0.565953047244129,31.36854789879608
111,3.120361328125,2.4419021606445312,1.9642181396484373,23.515037098632803,13.0610291761204,67.69559927870178
112,2.051551818847656,55.66979217529297,54.602821350097656,4.988273662597635,38.35115640326213,81.71050195124816
113,1.5148773193359375,59.17341613769531,57.92569351196289,16.865542663452146,40.107595065012696,85.17773064505768
114,6.234733581542969,12.25885009765625,12.857406616210938,8.626243379882794,22.720495880519508,82.8236124841652
115,3.937713623046875,54.426307678222656,53.21067810058594,16.38784306201174,8.281506394226682,80.45865950736237
116,1.3684921264648438,4.86724853515625,5.4234619140625,13.925939796875,27.06444254543973,75.32318797259522
117,4.705093383789063,7.9045257568359375,8.524337768554688,8.803116535522463,36.42923412530232,78.28454170288849
118,1.5838394165039062,3.5555572509765625,4.123115539550781,11.048697211914089,27.322295735625616,73.97469167453765
119,2.5753326416015625,16.97906494140625,17.634559631347656,1.754934098815923,28.51185889170766,87.77032218923569
120,1.2254180908203125,0.8637161254882812,1.3002777099609375,9.553761669250475,20.779080147808145,71.16677372827911
