Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis),DeepSurv,DeepBranched,Cox
51,0.4050979614257812,10.104942321777344,8.955772399902344,19.25792575421142,10.886707592319375,36.22312417683792
52,1.0056686401367188,6.336917877197266,5.159236907958984,31.708850102539067,9.08505877516984,32.08827077854156
53,0.1630325317382812,12.939193725585938,11.762554168701172,20.683228424621586,37.48685929034149,39.07848561661148
54,2.381011962890625,33.32252883911133,32.96437454223633,54.46706761486816,75.09405773369956,34.81282832257462
55,0.1231765747070312,33.64298248291016,33.23668670654297,45.23624000976562,27.793800871284603,33.42241038848877
56,1.75299072265625,12.354103088378906,12.63995361328125,39.65305994287108,38.57942625935054,34.87712415918732
57,1.2693443298339844,11.439258575439451,10.314544677734377,39.14047145831298,15.655631946504007,37.45739225161362
58,2.999740600585937,12.480579376220703,11.357952117919922,18.942449721679694,15.45955829564572,38.63397096694946
59,1.0421028137207031,7.912494659423828,6.732494354248047,15.236640455078124,9.89755782533384,33.793429253746034
60,0.852996826171875,5.720806121826172,4.538959503173828,23.91760367724609,0.565953047244129,31.36854789879608
111,2.96234130859375,2.4421463012695312,1.964508056640625,23.515037098632803,13.0610291761204,67.69559927870178
112,2.25665283203125,55.668094635009766,54.60185623168945,4.988273662597635,38.35115640326213,81.71050195124816
113,3.000282287597656,59.172462463378906,57.92940139770508,16.865542663452146,40.107595065012696,85.17773064505768
114,5.9397735595703125,12.25885009765625,12.856117248535156,8.626243379882794,22.720495880519508,82.8236124841652
115,3.89398193359375,54.4251823425293,53.211524963378906,16.38784306201174,8.281506394226682,80.45865950736237
116,1.4039688110351562,4.867240905761719,5.4317169189453125,13.925939796875,27.06444254543973,75.32318797259522
117,4.684051513671875,7.904853820800781,8.524429321289062,8.803116535522463,36.42923412530232,78.28454170288849
118,2.2634811401367188,3.5555648803710938,4.124755859375,11.048697211914089,27.322295735625616,73.97469167453765
119,2.037513732910156,16.97906494140625,17.637893676757812,1.754934098815923,28.51185889170766,87.77032218923569
120,0.96624755859375,0.8637313842773438,1.2987747192382812,9.553761669250475,20.779080147808145,71.16677372827911
