$\mathbf{MFGPCox}$,DeepBrch,NNJoint,DeepSurv
0.00473397970199585,0.01207630000000004,0.15000000000000002,0.15000000000000002
0.008673429489135631,0.05777675000000004,0.4,0.35
0.0001257061958311878,0.9999999994818974,0.15000000000000002,0.25
0.0001156926155090332,0.999999981576643,0.8,0.95
0.2537800669670105,0.99992498156,0.55,0.7
0.017301797866821178,0.955862127,0.5,0.6
0.00045877695083618164,3.7999999999982492e-06,0.4,0.65
0.0006521344184875488,0.004216129999999985,0.25,0.19999999999999996
6.0379505157581725e-05,0.91760975,0.050000000000000044,0.0
8.285045623779297e-06,0.0005277999999999672,0.19999999999999996,0.15000000000000002
0.01822441816329956,0.0,0.050000000000000044,0.0
0.4045809507369995,0.0,0.6,0.35
0.146287202835083,0.0,0.6,0.55
0.007293999195098766,0.0,0.09999999999999998,0.0
0.009615600109100453,0.0,0.65,0.65
0.0075879693031312145,0.0,0.15000000000000002,0.050000000000000044
3.099441528431335e-06,0.0,0.15000000000000002,0.09999999999999998
0.152082622051239,0.0,0.15000000000000002,0.15000000000000002
0.0023944973945617676,0.0,0.19999999999999996,0.050000000000000044
0.002171635627746582,0.0,0.25,0.25
