Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis)
51,0.8823529481887817,0.9215686321258544,0.8529412150382996
52,0.9787233471870422,0.521276593208313,0.4574467837810516
53,0.7706421613693237,0.926605463027954,0.8899081945419312
54,0.7099999785423279,0.9099999666213988,0.7899999618530273
55,0.9583333730697632,0.5520833730697632,0.4895833432674408
56,0.959999978542328,0.9099999666213988,0.7899999618530273
57,0.8679245710372925,0.9245283007621764,0.8867924809455872
58,0.6296296119689941,0.92592591047287,0.8888888955116272
59,0.969072163105011,0.5567010045051575,0.0103092780336737
60,1.0,0.5222222208976746,0.4555555582046509
111,0.9586776494979858,0.7438015937805176,0.6776859164237976
112,0.9503545761108398,0.368794322013855,0.326241135597229
113,0.8698630332946777,0.3561643958091736,0.3150684833526611
114,0.881118893623352,0.3636363744735718,0.3216783106327057
115,0.8705036044120789,0.4100719392299652,0.3597122430801391
116,0.9393939971923828,0.6136363744735718,0.5378788113594055
117,0.941605806350708,0.4744525551795959,0.4306569397449493
118,0.9461538195610046,0.6846153736114502,0.5923076868057251
119,0.8733333349227905,0.3466666638851166,0.3066666722297668
120,0.9523810148239136,0.70634925365448,0.6587302088737488
