Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('NL', 1)_alpha	('NL', 1)_xi	('NL', 1)_sigma	('NL', 2)_alpha	('NL', 2)_xi	('NL', 2)_sigma	('NL', 3)_alpha	('NL', 3)_xi	('NL', 3)_sigma
100.0	-11893.181640625	-3510.55908203125	-4272.5859375	-4110.0361328125	0.9421365857124329	0.7456526756286621	0.8140901923179626	1.6093984842300415	1.7296468019485474	0.006075725425034761	1.5320664644241333	1.6303478479385376	0.005982411094009876	1.3221261501312256	1.9929786920547485	0.00600611325353384
200.0	-12272.5625	-3521.420166015625	-4570.25390625	-4180.88916015625	0.9433478116989136	0.8399335741996765	0.8740777969360352	1.591426134109497	1.7499964237213135	0.0058646900579333305	1.4489353895187378	1.6678398847579956	0.005830156151205301	1.2750874757766724	2.0143022537231445	0.005716279149055481
300.0	-12507.8232421875	-3534.4453125	-4755.0517578125	-4218.326171875	0.944862425327301	0.9151582717895508	0.9119199514389038	1.5681382417678833	1.7757627964019775	0.005599404219537973	1.3858758211135864	1.7004104852676392	0.005600673612207174	1.249016523361206	2.0354814529418945	0.005350091960281134
400.0	-12650.076171875	-3547.93017578125	-4857.857421875	-4244.28857421875	0.946572482585907	0.9685390591621399	0.937262237071991	1.5406190156936646	1.8054370880126953	0.005305001512169838	1.344424843788147	1.7273954153060913	0.005297231953591108	1.2365293502807617	2.05710768699646	0.004955288954079151
500.0	-12751.5791015625	-3560.34716796875	-4928.880859375	-4262.3505859375	0.9484044909477234	1.0069456100463867	0.9546253681182861	1.509551763534546	1.838065266609192	0.005007344763725996	1.3183786869049072	1.7510987520217896	0.004929195158183575	1.2334952354431152	2.079561233520508	0.004581378307193518
600.0	-12833.474609375	-3570.51318359375	-4989.8837890625	-4273.07763671875	0.9503077268600464	1.036273717880249	0.9659814238548279	1.4754475355148315	1.8729901313781738	0.004734377842396498	1.3025999069213867	1.7731664180755615	0.004506330471485853	1.2374881505966187	2.1030220985412598	0.004277942236512899
700.0	-12903.1748046875	-3578.0537109375	-5046.66357421875	-4278.4580078125	0.9522532224655151	1.0596907138824463	0.9726161956787109	1.438722014427185	1.9097708463668823	0.004511118400841951	1.2942215204238892	1.7944319248199463	0.0040428610518574715	1.2465327978134155	2.1276259422302246	0.004074351862072945
800.0	-12962.1630859375	-3583.4912109375	-5097.3388671875	-4281.3330078125	0.9542348384857178	1.0786800384521484	0.9758495688438416	1.3997339010238647	1.948136329650879	0.004351139068603516	1.2917262315750122	1.8152520656585693	0.0035666734911501408	1.2587565183639526	2.1535165309906006	0.003963232506066561
900.0	-13006.650390625	-3587.746826171875	-5135.40087890625	-4283.5029296875	0.9562633633613586	1.09376060962677	0.9769368767738342	1.358822226524353	1.9879354238510132	0.004251689650118351	1.2943336963653564	1.8356964588165283	0.0031298522371798754	1.2726030349731445	2.180799722671509	0.0039129056967794895
1000.0	-13033.01171875	-3591.5185546875	-5155.92138671875	-4285.57275390625	0.958355724811554	1.105075478553772	0.9767539501190186	1.316357135772705	2.029064416885376	0.004198077134788036	1.3014827966690063	1.8557472229003906	0.002802650909870863	1.2870750427246094	2.2094967365264893	0.003892834298312664
