Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('P3', 1)_alpha	('P3', 1)_xi	('P3', 1)_sigma	('P3', 2)_alpha	('P3', 2)_xi	('P3', 2)_sigma	('P3', 3)_alpha	('P3', 3)_xi	('P3', 3)_sigma
100.0	-8551.8984375	-3520.646484375	-3432.171875	-1599.080322265625	0.9118570685386658	0.6061088442802429	0.9086386561393738	1.3202488422393799	1.737263560295105	0.006032668054103851	1.7170652151107788	1.2915364503860474	0.0059891254641115665	1.655309796333313	1.8933303356170654	0.009020362049341202
200.0	-9062.828125	-3521.8056640625	-3438.141357421875	-2102.880859375	0.9120470285415649	0.6074385643005371	0.8720210194587708	1.3176826238632202	1.740280270576477	0.006012541241943836	1.7160651683807373	1.2925699949264526	0.005987822078168392	1.692562222480774	1.9207569360733032	0.010603467933833599
300.0	-9509.97265625	-3523.350341796875	-3446.09814453125	-2540.5244140625	0.9122973084449768	0.609207034111023	0.8276472091674805	1.3142833709716797	1.7442700862884521	0.005985570140182972	1.7147396802902222	1.2939380407333374	0.005985709372907877	1.738147497177124	1.961882472038269	0.011204220354557037
400.0	-9893.5615234375	-3525.204833984375	-3455.781005859375	-2912.57568359375	0.9125982522964478	0.6113609075546265	0.7831282615661621	1.3101656436920166	1.7490931749343872	0.005953000858426094	1.713131308555603	1.2955933809280396	0.00598313519731164	1.7845336198806763	2.0193822383880615	0.010828888975083828
500.0	-10167.271484375	-3527.3369140625	-3467.076416015625	-3172.8583984375	0.9129441976547241	0.6138758659362793	0.7470042705535889	1.3053869009017944	1.7546766996383667	0.005915360525250435	1.7112618684768677	1.297511339187622	0.005980127956718206	1.8227444887161255	2.0928280353546143	0.009718060493469238
600.0	-10376.427734375	-3529.71875	-3479.9150390625	-3366.79443359375	0.9133314490318298	0.6167409420013428	0.720323920249939	1.2999812364578247	1.7609751224517822	0.005872990936040878	1.7091436386108398	1.2996777296066284	0.0059767006896436214	1.8512647151947021	2.1774611473083496	0.008077594451606274
700.0	-10568.396484375	-3532.32958984375	-3494.27734375	-3541.7890625	0.9137570858001709	0.6199528574943542	0.7006546854972839	1.2939684391021729	1.7679589986801147	0.005826161243021488	1.706783413887024	1.3020821809768677	0.005972856655716896	1.872408390045166	2.2682013511657715	0.0060172779485583305
800.0	-10722.1328125	-3535.14892578125	-3510.1611328125	-3676.822509765625	0.9142190217971802	0.6235131025314331	0.6857976913452148	1.287363052368164	1.7756081819534302	0.005775082856416702	1.704184889793396	1.3047184944152832	0.0059685916639864445	1.8884961605072021	2.3601255416870117	0.0040153455920517445
900.0	-10786.033203125	-3538.16064453125	-3527.572021484375	-3720.30078125	0.9147151112556458	0.62742680311203	0.6744338870048523	1.2801724672317505	1.7839081287384033	0.0057199508883059025	1.701348900794983	1.3075820207595825	0.005963899660855532	1.9011048078536987	2.4475226402282715	0.00340701499953866
1000.0	-10833.685546875	-3541.34619140625	-3546.5390625	-3745.800048828125	0.9152435064315796	0.6317021250724792	0.6658430099487305	1.27239990234375	1.7928495407104492	0.005660960450768471	1.6982767581939697	1.3106693029403687	0.005958767607808113	1.910951852798462	2.5318338871002197	0.003411033423617482
1100.0	-10878.685546875	-3544.68408203125	-3567.08740234375	-3766.91455078125	0.9158028364181519	0.6363493204116821	0.6591979265213013	1.264047622680664	1.8024251461029053	0.005598319228738546	1.6949663162231445	1.3139781951904297	0.005953182000666857	1.9189249277114868	2.614320755004883	0.0034270421601831913
