Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('T42', 1)_alpha	('T42', 1)_xi	('T42', 1)_sigma	('T42', 2)_alpha	('T42', 2)_xi	('T42', 2)_sigma	('T42', 3)_alpha	('T42', 3)_xi	('T42', 3)_sigma
100.0	-11398.8984375	-1833.9527587890625	-5567.7373046875	-3997.208984375	0.12312368303537369	0.9445532560348511	0.7046045660972595	1.6586278676986694	1.0964775085449219	0.005555558484047651	1.091468095779419	1.8834694623947144	0.00592343183234334	1.2320075035095215	1.520991563796997	0.006012583151459694
200.0	-11870.1875	-2273.800537109375	-5570.33837890625	-4026.04833984375	0.23998954892158508	0.9446285367012024	0.6873034238815308	1.5602848529815674	1.149023413658142	0.0043205213733017445	1.0914208889007568	1.8835368156433105	0.005898663774132729	1.236595869064331	1.5227254629135132	0.006010891869664192
300.0	-12529.10546875	-2914.74169921875	-5573.841796875	-4040.52197265625	0.38519760966300964	0.944728434085846	0.6735464930534363	1.4656838178634644	1.1976896524429321	0.003767328104004264	1.0913573503494263	1.8836265802383423	0.005865391343832016	1.2392232418060303	1.525224208831787	0.006007929798215628
400.0	-13253.880859375	-3629.277587890625	-5578.09912109375	-4046.50390625	0.5315088629722595	0.9448497295379639	0.664696455001831	1.3873082399368286	1.231553316116333	0.003589167259633541	1.0912806987762451	1.8837363719940186	0.005824940279126167	1.2393441200256348	1.5284268856048584	0.006004123017191887
500.0	-13448.3798828125	-3815.69384765625	-5583.072265625	-4049.614501953125	0.6040361523628235	0.9449902772903442	0.659609854221344	1.3473142385482788	1.247867465019226	0.0036805944982916117	1.0911917686462402	1.8838629722595215	0.005777810234576464	1.237422227859497	1.5322576761245728	0.005999580956995487
600.0	-13479.9375	-3839.07177734375	-5588.72265625	-4052.14306640625	0.6296977400779724	0.9451491832733154	0.656782329082489	1.3268632888793945	1.259110689163208	0.0038798789028078318	1.0910910367965698	1.8840082883834839	0.005724254529923201	1.2341042757034302	1.536648154258728	0.005994366016238928
700.0	-13496.8671875	-3847.095703125	-5595.0380859375	-4054.73388671875	0.6433635950088501	0.9453258514404297	0.6550882458686829	1.3103039264678955	1.2699408531188965	0.0040010144002735615	1.0909788608551025	1.8841699361801147	0.005664396565407515	1.2298955917358398	1.541547179222107	0.005988510325551033
800.0	-13511.51953125	-3852.0009765625	-5602.0126953125	-4057.50537109375	0.6525917649269104	0.945519745349884	0.6538646221160889	1.2945419549942017	1.2810419797897339	0.004082384053617716	1.090855598449707	1.88434898853302	0.005598278250545263	1.2251135110855103	1.5469218492507935	0.005982025992125273
900.0	-13525.986328125	-3855.868408203125	-5609.6455078125	-4060.47216796875	0.6595709919929504	0.9457303881645203	0.6527858376502991	1.278712511062622	1.292580485343933	0.004142221063375473	1.0907212495803833	1.8845453262329102	0.00552588514983654	1.2199331521987915	1.5527522563934326	0.005974914878606796
1000.0	-13540.8525390625	-3859.2880859375	-5617.94384765625	-4063.6201171875	0.6652024984359741	0.9459574818611145	0.6517170667648315	1.2624738216400146	1.3046070337295532	0.004188985098153353	1.0905760526657104	1.8847588300704956	0.005447172559797764	1.2144495248794556	1.5590254068374634	0.005967168137431145
1100.0	-13556.34765625	-3862.4970703125	-5626.9052734375	-4066.945068359375	0.6699417233467102	0.9462012052536011	0.6506125926971436	1.2456625699996948	1.3171343803405762	0.004227004013955593	1.0904200077056885	1.8849906921386719	0.005362073890864849	1.2087208032608032	1.5657339096069336	0.005958774127066135
1200.0	-13572.55078125	-3865.593505859375	-5636.5263671875	-4070.430908203125	0.6740521192550659	0.9464606642723083	0.6494618058204651	1.2281922101974487	1.3301588296890259	0.004258889704942703	1.0902531147003174	1.8852405548095703	0.0052705141715705395	1.2027907371520996	1.572872281074524	0.005949716083705425
1300.0	-13589.5048828125	-3868.629150390625	-5646.80322265625	-4074.072509765625	0.6777008175849915	0.9467353820800781	0.648265540599823	1.2100186347961426	1.3436678647994995	0.00428612157702446	1.0900744199752808	1.8855091333389282	0.005172422621399164	1.1967006921768188	1.5804367065429688	0.0059399777092039585
1400.0	-13607.2109375	-3871.6298828125	-5657.7236328125	-4077.857666015625	0.6810000538825989	0.9470251202583313	0.6470282673835754	1.1911261081695557	1.3576430082321167	0.004309751559048891	1.0898852348327637	1.8857978582382202	0.005067748483270407	1.190492868423462	1.5884246826171875	0.0059295352548360825
