Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('NH', 1)_alpha	('NH', 1)_xi	('NH', 1)_sigma	('NH', 2)_alpha	('NH', 2)_xi	('NH', 2)_sigma	('NH', 3)_alpha	('NH', 3)_xi	('NH', 3)_sigma
100.0	-8013.11865234375	-3424.01123046875	-4343.90185546875	-245.20556640625	0.9117327928543091	0.8963274955749512	0.7625397443771362	1.9111357927322388	1.3120721578598022	0.0059312209486961365	1.9060509204864502	1.9255515336990356	0.006000060588121414	1.4606356620788574	1.7460609674453735	0.00610142620280385
200.0	-9523.091796875	-3458.63427734375	-4364.6015625	-1699.8564453125	0.9153984785079956	0.8789308667182922	0.7106568217277527	1.8831207752227783	1.336035966873169	0.004882765468209982	1.9203505516052246	1.945602297782898	0.005895695183426142	1.5165413618087769	1.7533018589019775	0.006113816983997822
300.0	-10109.9775390625	-3469.6328125	-4384.9794921875	-2255.364990234375	0.9186657667160034	0.8733664751052856	0.6751883029937744	1.8484634160995483	1.3651190996170044	0.004389710258692503	1.9285989999771118	1.972478985786438	0.005752751138061285	1.558764100074768	1.7654929161071777	0.006100017111748457
400.0	-10395.7451171875	-3475.592529296875	-4409.125	-2511.027099609375	0.9217346906661987	0.8711331486701965	0.6496420502662659	1.8084466457366943	1.3979344367980957	0.004338953644037247	1.9362319707870483	2.00416898727417	0.005576323717832565	1.5927677154541016	1.7820913791656494	0.006074246484786272
500.0	-10569.099609375	-3481.837158203125	-4436.94189453125	-2650.31982421875	0.9250423908233643	0.8692700862884521	0.6302980184555054	1.76358962059021	1.43381667137146	0.004347675479948521	1.9451931715011597	2.0396125316619873	0.00536800641566515	1.6217838525772095	1.802559733390808	0.006040739826858044
600.0	-10693.599609375	-3488.303466796875	-4468.18701171875	-2737.109619140625	0.9285940527915955	0.8674230575561523	0.6151546835899353	1.7145655155181885	1.4720046520233154	0.0043564788065850735	1.9557307958602905	2.0781900882720947	0.0051283142529428005	1.647576093673706	1.8264336585998535	0.006001066416501999
700.0	-10795.1181640625	-3494.85595703125	-4502.67822265625	-2797.583984375	0.9323441386222839	0.8656100630760193	0.6030438542366028	1.6619629859924316	1.5118608474731445	0.004363532643765211	1.9678198099136353	2.119462013244629	0.004857682157307863	1.671188473701477	1.8533049821853638	0.005955907516181469
800.0	-10885.328125	-3501.382568359375	-4540.0751953125	-2843.87060546875	0.9362564086914062	0.8638542294502258	0.5932259559631348	1.606302261352539	1.5528761148452759	0.004368996247649193	1.9813987016677856	2.163086414337158	0.004557231441140175	1.693291187286377	1.8828117847442627	0.005905589554458857
900.0	-10969.7080078125	-3507.8251953125	-4579.787109375	-2882.095703125	0.9403033256530762	0.862174928188324	0.5852031707763672	1.548064112663269	1.5946518182754517	0.0043732039630413055	1.996393084526062	2.208777904510498	0.004229850601404905	1.7143405675888062	1.9146345853805542	0.005850278772413731
1000.0	-11050.27734375	-3514.10205078125	-4620.6201171875	-2915.55517578125	0.9444629549980164	0.8605906963348389	0.5786221027374268	1.4877492189407349	1.636854887008667	0.004376362077891827	2.0127313137054443	2.2562761306762695	0.0038819657638669014	1.7346676588058472	1.9484889507293701	0.005790064111351967
1100.0	-11126.73828125	-3520.1611328125	-4660.49072265625	-2946.0869140625	0.9487176537513733	0.8591243624687195	0.5732214450836182	1.4259295463562012	1.6791759729385376	0.004378585144877434	2.0303633213043213	2.3053066730499268	0.0035262922756373882	1.7545174360275269	1.9841245412826538	0.0057250033132731915
1200.0	-11196.9921875	-3525.91259765625	-4696.3046875	-2974.77587890625	0.9530523419380188	0.857818603515625	0.5688011050224304	1.3632946014404297	1.721319317817688	0.004380165133625269	2.0492846965789795	2.3555517196655273	0.0031850452069193125	1.7740782499313354	2.0213232040405273	0.005655151326209307
1300.0	-11258.494140625	-3531.3134765625	-4724.93603515625	-3002.24365234375	0.9574604630470276	0.8567430973052979	0.5652031898498535	1.3006638288497925	1.763045072555542	0.004381266888231039	2.06954288482666	2.4066314697265625	0.0028900757897645235	1.7934987545013428	2.0598978996276855	0.005580575671046972
1400.0	-11310.6484375	-3536.304931640625	-4745.4794921875	-3028.864013671875	0.9619447588920593	0.8559871315956116	0.5623013973236084	1.2389914989471436	1.8042304515838623	0.0043822056613862514	2.0912134647369385	2.4581446647644043	0.0026724126655608416	1.8128949403762817	2.0996923446655273	0.00550139369443059
1500.0	-11356.001953125	-3540.857666015625	-4760.2783203125	-3054.86572265625	0.9665180444717407	0.8556006550788879	0.5599914193153381	1.1793949604034424	1.8448811769485474	0.004383097402751446	2.1143360137939453	2.509777069091797	0.0025415699928998947	1.8323605060577393	2.1405794620513916	0.005417767446488142
1600.0	-11397.74609375	-3544.943359375	-4772.4267578125	-3080.37548828125	0.9711973667144775	0.8555449843406677	0.5581865906715393	1.12318754196167	1.8850845098495483	0.004383890423923731	2.1388678550720215	2.5613577365875244	0.002478324342519045	1.8519704341888428	2.182457447052002	0.005329926963895559
1700.0	-11437.564453125	-3548.544189453125	-4783.54638671875	-3105.473388671875	0.9759973883628845	0.8557273149490356	0.556813657283783	1.071882963180542	1.924926996231079	0.004384630359709263	2.1646876335144043	2.61283278465271	0.002453468507155776	1.8717845678329468	2.225245475769043	0.0052381837740540504
1800.0	-11475.91015625	-3551.66064453125	-4794.07470703125	-3130.17529296875	0.9809274077415466	0.8560606241226196	0.5558103919029236	1.027073860168457	1.9644417762756348	0.00438518263399601	2.191617965698242	2.6642041206359863	0.0024458630941808224	1.8918520212173462	2.268876075744629	0.005142950918525457
1900.0	-11512.9521484375	-3554.314208984375	-4804.146484375	-3154.4912109375	0.9859924912452698	0.8564894795417786	0.555122971534729	0.9901533722877502	2.0036230087280273	0.004385597072541714	2.2194442749023438	2.7155158519744873	0.002444859826937318	1.9122134447097778	2.3132898807525635	0.0050447541289031506
2000.0	-11548.77734375	-3556.5869140625	-4813.802734375	-3178.3876953125	0.991198718547821	0.8569815158843994	0.5547051429748535	0.9619070887565613	2.042489767074585	0.004385995212942362	2.247943878173828	2.7668304443359375	0.002446180209517479	1.9329009056091309	2.3584306240081787	0.004944251384586096
2100.0	-11583.4931640625	-3558.58154296875	-4823.0888671875	-3201.823486328125	0.99655681848526	0.8575098514556885	0.5545163154602051	0.9422309994697571	2.081138849258423	0.004386409185826778	2.276918888092041	2.8182308673858643	0.002448270097374916	1.9539422988891602	2.4042422771453857	0.004842238035053015
2200.0	-11617.189453125	-3560.39501953125	-4832.05419921875	-3224.74072265625	1.0020819902420044	0.8580582737922668	0.5545223951339722	0.93012535572052	2.119753837585449	0.004386940971016884	2.306203842163086	2.869795799255371	0.002450582105666399	1.975359559059143	2.450669527053833	0.004739671014249325
2300.0	-11649.9375	-3562.1123046875	-4840.75	-3247.07470703125	1.0077928304672241	0.8586161136627197	0.5546929240226746	0.9240388870239258	2.1585612297058105	0.004387571942061186	2.335683584213257	2.9215805530548096	0.002452986314892769	1.997170329093933	2.4976584911346436	0.004637659527361393
