$\mathbf{MFGPCox}$,DeepBrch,NNJoint,DeepSurv
0.004730105400085449,1.4300000000022628e-05,0.15000000000000002,0.15000000000000002
0.008666217327118031,8.299999999517027e-07,0.4,0.35
0.00012558698654163702,0.05203645999999995,0.15000000000000002,0.25
0.00011551380157481805,0.9003440739999999,0.8,0.95
0.25362181663513184,0.68432117,0.55,0.7
0.017287611961364746,0.981307149,0.5,0.6
0.0004584193229676403,0.00487464999999998,0.4,0.65
0.0006516575813292347,2.740000000001075e-06,0.25,0.19999999999999996
6.0379505157581725e-05,0.00035490000000004684,0.050000000000000044,0.0
8.285045623779297e-06,3.076000000001855e-05,0.19999999999999996,0.15000000000000002
0.01823943853378296,9.400000000048259e-06,0.050000000000000044,0.0
0.40478235483169556,0.00022379999999999622,0.6,0.35
0.1463916301727295,0.0020037000000000527,0.6,0.55
0.007300138473510853,1.5259999999961416e-05,0.09999999999999998,0.0
0.009623467922210804,0.002920299999999987,0.65,0.65
0.007594287395477184,8.340000000051084e-06,0.15000000000000002,0.050000000000000044
3.099441528431335e-06,7.399999999990747e-06,0.15000000000000002,0.09999999999999998
0.1521904468536377,2.7200000000004998e-05,0.15000000000000002,0.15000000000000002
0.0023964643478393555,0.00016249999999995435,0.19999999999999996,0.050000000000000044
0.0021734237670898438,5.499999999991623e-06,0.25,0.25
