Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis)
51,0.9305555820465088,1.0,0.9583333134651184
52,1.0,0.265625,0.3125
53,0.8734177350997925,1.0,1.0
54,0.9714285731315612,0.7714285850524902,0.7571428418159485
55,1.0,0.3181818127632141,0.3484848737716675
56,0.9571428894996644,0.7714285850524902,0.7571428418159485
57,0.8684210777282715,1.0,1.0
58,0.9615384936332704,1.0,1.0
59,0.9850745797157288,0.0149253727868199,0.0149253727868199
60,1.0,0.2586206793785095,0.0172413792461156
111,0.9340659379959106,0.0109890112653374,0.6703296899795532
112,0.846846878528595,0.2432432472705841,0.2072072178125381
113,0.7931034564971924,0.224137932062149,0.1982758641242981
114,0.8053097128868103,0.2300885021686554,0.2035398185253143
115,0.8440366387367249,0.2935779690742492,0.2477064132690429
116,0.901960790157318,0.5490196347236633,0.480392187833786
117,0.8691588640213013,0.3738317489624023,0.3457943797111511
118,0.9099999666213988,0.6299999952316284,0.5399999618530273
119,0.7916666865348816,0.2166666835546493,0.1916666775941848
120,0.9479166865348816,0.6666666865348816,0.625
