Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis)
51,0.9509804248809814,0.9215686321258544,0.8529412150382996
52,1.0,0.5444444417953491,0.4777777791023254
53,0.8807339072227478,0.926605463027954,0.8899081945419312
54,1.0,0.9139785170555116,0.8494623899459839
55,0.9999999403953552,0.563829779624939,0.4999999701976776
56,1.0,0.9157894849777222,0.8315789699554443
57,0.9339622855186462,0.9245283007621764,0.8867924809455872
58,0.9537037014961244,0.92592591047287,0.8888888955116272
59,1.0,0.5684210658073425,0.0105263162404298
60,1.0,0.540229856967926,0.4712643623352051
111,0.9669421315193176,0.7438015937805176,0.6776859164237976
112,0.9858155846595764,0.368794322013855,0.326241135597229
113,0.9041095972061156,0.3561643958091736,0.3150684833526611
114,0.5524475574493408,0.3636363744735718,0.3216783106327057
115,0.8561151027679443,0.4100719392299652,0.3597122430801391
116,0.7954545617103577,0.6136363744735718,0.5378788113594055
117,0.5766423344612122,0.4744525551795959,0.4306569397449493
118,0.9692307710647584,0.6846153736114502,0.5923076868057251
119,0.6600000262260437,0.3466666638851166,0.3066666722297668
120,0.9523810148239136,0.70634925365448,0.6587302088737488
