Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis),DeepSurv,DeepBranched,Cox
51,4.079311370849609,2.8738975524902344,0.2841453552246094,26.738928531738267,6.644636682818188,36.01933584299469
52,15.109115600585938,21.200233459472656,17.702293395996094,43.27230299169923,24.71094414412284,32.19582639877891
53,1.8482780456542969,0.4469413757324219,6.893035888671875,32.41062137060548,20.74699686769628,38.79149896330452
54,2.279010772705078,22.165802001953125,25.85456085205078,57.78041881542968,5.929436605225675,34.64525607008171
55,17.712688446044922,25.14468002319336,21.3379020690918,50.57039183105471,7.459983255059413,33.39880879198074
56,19.15721893310547,12.185203552246094,12.685012817382812,44.98392241259764,13.167115289625045,34.74494795540619
57,3.782661437988281,10.818771362304688,11.13971710205078,50.91171899902344,4.160564589310873,37.30640931857109
58,16.073169708251953,10.212337493896484,2.066020965576172,28.578801780761715,17.696068978764053,38.44731401520824
59,11.534618377685549,3.110576629638672,6.003856658935547,16.080062401367186,1.4439695985401286,33.86913582973385
60,12.955280303955078,10.770572662353516,0.0245628356933593,31.15204883642577,10.80766050888085,31.63635930590248
111,18.424842834472656,2.0743637084960938,10.71125030517578,23.94359607519533,26.753641775613787,68.5066007274208
112,23.133575439453125,37.90814971923828,45.84371948242188,15.257646377929689,32.466973843550335,82.25929083431626
113,43.38248443603516,47.36818313598633,54.113548278808594,31.464889304687503,89.05189507873176,85.69818471555901
114,32.26016998291016,21.31409454345703,21.21026611328125,9.098671379882802,38.46130936544168,83.40864997784423
115,24.381591796875,42.12169647216797,53.12890625,26.767320003417964,57.8061339640745,81.01570514371777
116,19.98680877685547,13.959701538085938,18.15557098388672,12.2452841237793,35.76309952988231,76.04111081206703
117,7.224784851074219,21.394630432128903,25.46674346923828,4.93344899902344,22.405207781779765,79.09523153414726
118,39.160743713378906,22.58563995361328,25.91519927978516,5.065583791503897,25.357471248685727,74.71287215732575
119,30.665313720703125,32.5113525390625,40.31805419921875,0.1177673422851484,38.650005058666224,88.15758537416076
120,12.78498077392578,18.91461944580078,26.01616668701172,7.75617393847655,26.169572988078485,71.97366816405106
