Unit,MFCMGP-Cox-exp,Deep-B,NN-J,DeepSurv,Cox
11,0.4835205078125,14.543780028525532,19.238161299750004,2.0,8.74437046051024
12,1.15911865234375,14.89356328963362,20.93873942715146,4.400000000000006,10.2774143218994
13,5.5389556884765625,18.5416795615202,22.376340387561413,2.799999999999997,13.109374046325684
14,5.104911804199219,15.227658420207348,30.71985432957888,1.9000000000000057,15.051303863525405
15,0.0212631225585937,17.847892134257194,31.74213564177967,2.0,7.66357421875
16,3.854522705078125,6.114695695350548,20.420477410661675,8.099999999999994,4.497116088867202
17,2.4200210571289062,12.011052048619987,29.581763360984358,0.2000000000000028,13.289648056030272
18,0.3925933837890625,11.652103846401602,19.237926412127308,3.0999999999999943,7.004878044128418
19,4.0244903564453125,14.479103382034396,18.91651290843876,0.7000000000000028,12.469789505004885
20,1.3976593017578125,12.250062619117386,22.26010867151126,6.299999999999983,7.934174537658677
21,3.8283615112304688,16.66574985455776,29.42077594181859,2.0,9.02646255493164
22,1.358642578125,13.635566985177434,15.916605511061562,4.299999999999983,10.123947143554672
23,7.496902465820312,18.980064240145,24.077474351752898,0.5999999999999943,14.649442672729478
24,1.4114532470703125,11.951196160462615,18.376541377091485,3.200000000000017,13.906339645385742
25,2.149940490722656,16.39656497578619,29.581676979606243,3.0999999999999943,8.313636779785156
26,0.1218795776367187,11.33115265076846,25.42068482204093,1.0999999999999943,6.651348114013686
27,8.525039672851562,20.26321015276605,32.259996751582605,13.200000000000005,17.533195495605483
28,0.6966552734375,8.294790825573997,21.09933337304301,0.0,10.800813674926758
29,2.85772705078125,17.62124826878258,30.28201128162777,3.9000000000000057,12.768824577331545
30,5.400794982910156,9.643492069464571,24.07742270111592,4.799999999999997,16.349149703979478
41,2.624862670898437,35.990748771550045,2.6264344466793546,21.90000000000001,36.28534507751464
42,14.144073486328123,29.85831669135679,9.0959731889819,13.900000000000006,26.21043014526369
43,4.707427978515625,29.24820798698427,7.096624487586666,11.699999999999989,29.62915420532228
44,11.633514404296877,28.678546958122737,9.095909571161798,9.699999999999989,27.77052879333496
45,9.682540893554688,32.8873338240424,3.0970144909573207,12.599999999999994,32.9034538269043
46,4.916351318359375,27.23056982588571,9.234454569520352,4.599999999999994,24.88586616516112
47,0.610687255859375,36.15120241883518,1.097178810687069,11.5,35.80198669433594
48,4.681076049804688,32.879871992487,3.0962916769295816,9.5,33.814510345458984
49,5.552825927734375,32.87069728777675,5.096526333363983,13.699999999999989,30.608625411987305
50,0.5099029541015625,31.1793737444209,4.234969950747086,9.599999999999994,30.81086921691896
51,11.283950805664062,20.338263122743385,15.096150293945756,0.5999999999999943,22.48340225219728
52,1.391815185546875,43.27269458873063,5.903002120195936,21.599999999999994,41.562046051025405
53,20.527252197265625,18.77930191646479,18.09718651017465,4.900000000000006,18.46285820007324
54,0.2985687255859375,35.35938439683683,2.0967270042015684,10.5,36.948678970336914
55,8.015411376953125,27.729213623478017,8.234870156762724,5.599999999999994,26.1660099029541
56,2.1902618408203125,30.836055436126188,7.096844195065387,11.699999999999989,28.633174896240234
57,9.55126953125,29.57828924121185,8.097775728512886,4.5,29.22779083251952
58,8.093215942382812,28.16383102341408,7.235740870321536,12.800000000000011,27.057373046875
59,19.706024169921875,21.639278401690632,12.234849987231144,4.699999999999989,24.762824058532715
60,11.356781005859377,27.34443084817833,10.096210983685694,8.699999999999989,27.78582191467284
61,8.5577392578125,26.352374112518547,9.373399213224616,8.800000000000011,22.623735427856445
62,13.22601318359375,24.95402979687377,15.096792921590662,0.5999999999999943,19.638561248779297
63,1.33636474609375,31.421172439593192,0.3727012046052778,14.699999999999989,33.78754997253418
64,17.307662963867188,25.60049780766317,9.235785668093342,4.599999999999994,25.77667617797852
65,6.1495361328125,28.77420915795128,6.096451773174408,6.5,31.66819381713869
66,3.4471893310546875,29.64405597878928,4.235405951401987,6.5,29.400840759277344
67,15.027252197265623,25.943988161369543,10.233984404192654,6.699999999999989,25.200963973999023
68,3.7909088134765625,29.098922517849644,6.235348619027548,4.5,26.49424362182617
69,0.170166015625,34.110726891356265,5.097209936123733,7.5,29.10736846923828
70,4.68218994140625,39.155932692677325,3.765631039250593,22.899999999999977,38.97791862487792
