Iteration	Total loss	Cox loss	KL loss	kl_b_rho loss	mu_b_hat_1	mu_b_hat_2	sigma_b_hat_1	sigma_b_hat_2	alpha_rho_hat_1	alpha_rho_hat_2	beta_rho_hat_1	beta_rho_hat_2	alpha_hat_1	alpha_hat_2	beta_('sensor 1', 1)	beta_('sensor 1', 2)	beta_('sensor 2', 1)	beta_('sensor 2', 2)	gamma_1	gamma_2
100.0	1429.1414794921875	1390.768798828125	3.1805508136749268	35.192134857177734	-6.571010112762451	-8.060194969177246	0.12604349851608276	0.10008400678634644	5.088253498077393	19.774686813354492	445.30426025390625	318.61053466796875	1.0264166593551636	1.0070348978042603	0.01837698370218277	-0.04996785521507263	0.014238012954592705	-0.049967195838689804	0.30757033824920654	0.9584994316101074
200.0	1407.4210205078125	1369.57177734375	3.178107261657715	34.67118835449219	-6.840829849243164	-8.059677124023438	0.12845562398433685	0.10111496597528458	4.775929927825928	19.786104202270508	540.15869140625	318.47003173828125	1.0887643098831177	1.0856534242630005	0.019747570157051086	-0.049110814929008484	0.017083562910556793	-0.04909395053982735	0.30757033824920654	0.9584994316101074
300.0	1380.7738037109375	1342.8548583984375	3.1780548095703125	34.74079895019531	-6.900401592254639	-8.058977127075195	0.12895405292510986	0.10246718674898148	4.961573600769043	19.80137062072754	600.7412109375	318.2826843261719	1.0989919900894165	1.0987107753753662	0.020070593804121017	-0.047969236969947815	0.017713269218802452	-0.04793091490864754	0.30757033824920654	0.9584994316101074
400.0	1348.52294921875	1310.5780029296875	3.1780543327331543	34.766845703125	-6.907325267791748	-8.05813980102539	0.1289966106414795	0.10408003628253937	5.376770496368408	19.819955825805664	649.9859008789062	318.0546569824219	1.099957823753357	1.0999460220336914	0.02009357511997223	-0.04658210650086403	0.01776803843677044	-0.046517711132764816	0.30757033824920654	0.9584994316101074
500.0	1310.9854736328125	1273.0472412109375	3.178053855895996	34.76010513305664	-6.909171104431152	-8.057153701782227	0.1289743334054947	0.10591811686754227	5.934564590454102	19.841657638549805	698.5934448242188	317.7889099121094	1.0999994277954102	1.0999990701675415	0.020055629312992096	-0.04496673867106438	0.017697308212518692	-0.04487201198935509	0.30757033824920654	0.9584994316101074
600.0	1268.3702392578125	1230.4415283203125	3.178053855895996	34.750633239746094	-6.911531925201416	-8.056046485900879	0.1289449781179428	0.1079556867480278	6.603920936584473	19.866382598876953	751.019287109375	317.4866027832031	1.0999994277954102	1.0999990701675415	0.02000400982797146	-0.04313202574849129	0.017595166340470314	-0.043002899736166	0.30757033824920654	0.9584994316101074
700.0	1220.787109375	1182.857177734375	3.178053855895996	34.75178146362305	-6.914201259613037	-8.054810523986816	0.128914013504982	0.11017222702503204	7.374682426452637	19.894081115722656	808.8564453125	317.1496276855469	1.0999994277954102	1.0999990701675415	0.019948219880461693	-0.04108226299285889	0.01748330518603325	-0.04091480374336243	0.30757033824920654	0.9584994316101074
800.0	1168.2738037109375	1130.327880859375	3.178053855895996	34.767860412597656	-6.916959285736084	-8.053443908691406	0.12888263165950775	0.11255021393299103	8.244565963745117	19.924793243408203	872.5313110351562	316.77569580078125	1.0999994277954102	1.0999990701675415	0.019891342148184776	-0.03881880268454552	0.017368657514452934	-0.03860915079712868	0.30757033824920654	0.9584994316101074
900.0	1110.83251953125	1072.85498046875	3.178053855895996	34.79939270019531	-6.919700622558594	-8.051960945129395	0.1288512647151947	0.11507412791252136	9.21341609954834	19.95853042602539	942.070068359375	316.3669128417969	1.0999994277954102	1.0999990701675415	0.019834602251648903	-0.036341022700071335	0.017254091799259186	-0.03608538210391998	0.30757033824920654	0.9584994316101074
1000.0	1048.4400634765625	1010.4157104492188	3.178053855895996	34.84627151489258	-6.922405242919922	-8.050362586975098	0.1288204938173294	0.11772891134023666	10.280776023864746	19.995357513427734	1017.3629150390625	315.9217529296875	1.0999994277954102	1.0999990701675415	0.019779043272137642	-0.03364698961377144	0.01714145578444004	-0.0333416610956192	0.30757033824920654	0.9584994316101074
1100.0	981.1597900390625	943.0741577148438	3.178053855895996	34.90758514404297	-6.924221515655518	-8.0486421585083	0.1284007579088211	0.12049896270036697	11.441624641418457	20.035341262817383	1098.06689453125	315.4405212402344	1.0999994277954102	1.0999990701675415	0.019302085041999817	-0.030734186992049217	0.01660793274641037	-0.03037559986114502	0.30757033824920654	0.9584994316101074
1200.0	908.8021240234375	870.6396484375	3.178054094314575	34.98445129394531	-6.927489280700684	-8.046814918518066	0.1287541687488556	0.12336583435535431	12.677790641784668	20.078489303588867	1182.9951171875	314.9233703613281	1.0999994277954102	1.099999189376831	0.019664477556943893	-0.027600642293691635	0.01691960170865059	-0.027185721322894096	0.30757033824920654	0.9584994316101074
1300.0	831.8505859375	793.5994873046875	3.178054094314575	35.073036193847656	-6.929795265197754	-8.044907569885254	0.12872649729251862	0.12630274891853333	13.989523887634277	20.124752044677734	1272.01904296875	314.37109375	1.0999994277954102	1.099999189376831	0.019617877900600433	-0.024247916415333748	0.01682361774146557	-0.02377435192465782	0.30757033824920654	0.9584994316101074
1400.0	751.1580810546875	712.8086547851562	3.178054094314575	35.17137145996094	-6.931973934173584	-8.042970657348633	0.12866966426372528	0.12925957143306732	15.364757537841797	20.173770904541016	1364.4560546875	313.79180908203125	1.0999994277954102	1.099999189376831	0.019532641395926476	-0.020690733566880226	0.016692321747541428	-0.0201583132147789	0.30757033824920654	0.9584994316101074
1500.0	670.0718994140625	631.6192016601562	3.178054094314575	35.27463912963867	-6.934035778045654	-8.041123390197754	0.12863439321517944	0.13211199641227722	16.793624877929688	20.22402000427246	1459.650146484375	313.20489501953125	1.0999994277954102	1.099999189376831	0.019472146406769753	-0.01699434407055378	0.01658874750137329	-0.016408614814281464	0.30757033824920654	0.9584994316101074
1600.0	600.5877075195312	562.0411376953125	3.1780543327331543	35.36853790283203	-6.9353413581848145	-8.039816856384277	0.1290854662656784	0.1344829797744751	18.27168083190918	20.26959800720215	1556.508056640625	312.696044921875	1.0999994277954102	1.0999993085861206	0.01993807777762413	-0.013425085693597794	0.0170150026679039	-0.012808476574718952	0.30757033824920654	0.9584994316101074
1700.0	565.8822021484375	527.3113403320312	3.1780543327331543	35.39282989501953	-6.937582015991211	-8.040207862854004	0.1283336728811264	0.135414719581604	19.765098571777344	20.293460845947266	1655.77587890625	312.5121154785156	1.0999997854232788	1.0999995470046997	0.0190915334969759	-0.01079239509999752	0.01613485999405384	-0.010206488892436028	0.30757033824920654	0.9584994316101074
1800.0	560.5126342773438	522.0057373046875	3.178054094314575	35.328853607177734	-6.938895225524902	-8.04306697845459	0.12882135808467865	0.13433979451656342	21.29254913330078	20.282535552978516	1754.59375	312.8441467285156	1.0999997854232788	1.0999995470046997	0.01964458078145981	-0.009742788970470428	0.0166486743837595	-0.00927001517266035	0.30757033824920654	0.9584994316101074
1900.0	559.4150390625	521.0245361328125	3.178054094314575	35.21246337890625	-6.940169334411621	-8.04716682434082	0.12878771126270294	0.13243161141872406	22.821659088134766	20.254703521728516	1853.824951171875	313.4345397949219	1.0999997854232788	1.0999995470046997	0.019595175981521606	-0.009428744204342365	0.016570081934332848	-0.009108254685997963	0.30757033824920654	0.9584994316101074
2000.0	558.300537109375	520.0422973632812	3.178054094314575	35.080177307128906	-6.9415130615234375	-8.051664352416992	0.1286396086215973	0.13046884536743164	24.342761993408203	20.22288703918457	1952.4884033203125	314.0946350097656	1.0999997854232788	1.0999995470046997	0.019422970712184906	-0.009221966378390789	0.016367755830287933	-0.009065426886081696	0.30757033824920654	0.9584994316101074
2100.0	557.333251953125	519.2176513671875	3.178054094314575	34.937557220458984	-6.943268775939941	-8.056427955627441	0.1282082200050354	0.12858916819095612	25.842491149902344	20.189247131347656	2050.37451171875	314.795166015625	1.0999997854232788	1.0999995470046997	0.018928127363324165	-0.009016497060656548	0.015851106494665146	-0.009031092748045921	0.30757033824920654	0.9584994316101074
2200.0	556.2197265625	518.2533569335938	3.178054094314575	34.78831100463867	-6.94442892074585	-8.061452865600586	0.12814265489578247	0.12681491672992706	27.325109481811523	20.153907775878906	2145.883544921875	315.5325927734375	1.0999997854232788	1.0999995470046997	0.018846504390239716	-0.008802917785942554	0.015746574848890305	-0.008995366282761097	0.30757033824920654	0.9584994316101074
2300.0	554.9098510742188	517.0975952148438	3.178054094314575	34.634239196777344	-6.944766998291016	-8.06674575805664	0.12878625094890594	0.12515652179718018	28.792495727539062	20.116851806640625	2237.83154296875	316.3092956542969	1.0999997854232788	1.0999997854232788	0.019546451047062874	-0.008580602705478668	0.01642169989645481	-0.008957530371844769	0.30757033824920654	0.9584994316101074
2400.0	553.618408203125	515.9757080078125	3.178054094314575	34.46467971801758	-6.945886135101318	-8.072317123413086	0.12858860194683075	0.1236218735575676	30.19870376586914	20.078048706054688	2328.3017578125	317.1258850097656	1.0999997854232788	1.0999997854232788	0.01933516561985016	-0.008349514566361904	0.016191700473427773	-0.00891740620136261	0.30757033824920654	0.9584994316101074
2500.0	552.41748046875	514.9515380859375	3.178054094314575	34.28788375854492	-6.946357727050781	-8.078177452087402	0.12876483798027039	0.12221665680408478	31.568923950195312	20.03744888305664	2414.8408203125	317.9845886230469	1.0999997854232788	1.0999997854232788	0.019506050273776054	-0.008109663613140583	0.01634754054248333	-0.008874869905412197	0.30757033824920654	0.9584994316101074
2600.0	551.0281372070312	513.7543334960938	3.178054094314575	34.095787048339844	-6.947695732116699	-8.084335327148438	0.12836112082004547	0.12094444036483765	32.86796951293945	19.995014190673828	2499.143310546875	318.8856201171875	1.0999997854232788	1.0999997854232788	0.019079813733696938	-0.007861071266233921	0.015903452411293983	-0.008829769678413868	0.30757033824920654	0.9584994316101074
2700.0	549.7108154296875	512.6378173828125	3.1780543327331543	33.894981384277344	-6.948409557342529	-8.090801239013672	0.12821277976036072	0.11980648338794708	34.12171936035156	19.950708389282227	2579.30224609375	319.8308410644531	1.0999999046325684	1.0999997854232788	0.018912965431809425	-0.007603785488754511	0.015723951160907745	-0.008781957440078259	0.30757033824920654	0.9584994316101074
2800.0	548.260986328125	511.3989562988281	3.1780543327331543	33.68396759033203	-6.94911527633667	-8.097594261169434	0.12823566794395447	0.11880194395780563	35.32046890258789	19.904495239257812	2655.334716796875	320.8229064941406	1.0999999046325684	1.0999997854232788	0.01893545128405094	-0.007337870076298714	0.01573268510401249	-0.008731239475309849	0.30757033824920654	0.9584994316101074
2900.0	546.7828979492188	510.143310546875	3.178053855895996	33.46152877807617	-6.949503421783447	-8.104713439941406	0.12824855744838715	0.11792785674333572	36.46086120605469	19.856304168701172	2727.392578125	321.8619384765625	1.100000023841858	1.0999999046325684	0.01894749514758587	-0.007063447497785091	0.01573237217962742	-0.008677458390593529	0.30757033824920654	0.9584994316101074
3000.0	545.241943359375	508.83612060546875	3.178053855895996	33.227760314941406	-6.949710845947266	-8.112181663513184	0.12832869589328766	0.11717939376831055	37.544063568115234	19.806129455566406	2795.343994140625	322.9500732421875	1.100000023841858	1.0999999046325684	0.019033104181289673	-0.006780622992664576	0.015808887779712677	-0.00862039253115654	0.30757033824920654	0.9584994316101074
3100.0	543.6893310546875	507.5263977050781	3.178053855895996	32.98487854003906	-6.949874401092529	-8.120003700256348	0.1287408471107483	0.11655008047819138	38.57572555541992	19.75390625	2858.649658203125	324.0887145996094	1.100000023841858	1.0999999046325684	0.0194459967315197	-0.006489566992968321	0.016210462898015976	-0.008559833280742168	0.30757033824920654	0.9584994316101074
3200.0	542.42431640625	506.5167236328125	3.178054094314575	32.72952651977539	-6.950056076049805	-8.128196716308594	0.1291419118642807	0.11603210121393204	39.546382904052734	19.699617385864258	2918.135498046875	325.2797546386719	1.0999999046325684	1.0999999046325684	0.019798310473561287	-0.006190463900566101	0.01655658520758152	-0.008495543152093887	0.30757033824920654	0.9584994316101074
