Iteration	Total_Loss	fm1_Loss	fm2_Loss	fm3_Loss	Lambda_hyp_1	Lambda_hyp_2	Lambda_hyp_3	('P26', 1)_alpha	('P26', 1)_xi	('P26', 1)_sigma	('P26', 2)_alpha	('P26', 2)_xi	('P26', 2)_sigma	('P26', 3)_alpha	('P26', 3)_xi	('P26', 3)_sigma
100.0	-10643.955078125	-3462.3740234375	-4559.9833984375	-2621.59716796875	0.9389702677726746	0.8716223239898682	0.11745227128267288	1.5773571729660034	1.1442170143127441	0.006015324965119362	1.4643844366073608	1.7601118087768555	0.005837299861013889	1.3026080131530762	1.4886466264724731	0.00597715936601162
200.0	-10870.3916015625	-3465.634765625	-4783.169921875	-2621.586669921875	0.9407332539558411	0.9535331130027771	0.11745277047157288	1.5713176727294922	1.1476693153381348	0.005974296480417252	1.393226981163025	1.7999860048294067	0.005255390889942646	1.3026080131530762	1.4886466264724731	0.005977443419396877
300.0	-11037.5673828125	-3469.882080078125	-4946.09619140625	-2621.5888671875	0.9429821372032166	1.014350414276123	0.11745413392782211	1.5633994340896606	1.1521689891815186	0.005919851828366518	1.3481264114379883	1.8354140520095825	0.004409178625792265	1.3026080131530762	1.4886466264724731	0.005977443419396877
400.0	-11173.232421875	-3474.866455078125	-5076.77490234375	-2621.59130859375	0.9455831050872803	1.058303713798523	0.1174556240439415	1.5539199113845825	1.1575146913528442	0.005854345858097076	1.3258156776428223	1.8668242692947388	0.0034040878526866436	1.3026080131530762	1.4886466264724731	0.005977443419396877
500.0	-11243.78125	-3480.44921875	-5141.73876953125	-2621.59375	0.9484449625015259	1.0886814594268799	0.11745711416006088	1.5430595874786377	1.1635838747024536	0.0057790232822299	1.3228650093078613	1.8945845365524292	0.0026272221002727747	1.3026080131530762	1.4886466264724731	0.005977443419396877
600.0	-11260.6875	-3486.513916015625	-5152.57568359375	-2621.597412109375	0.9514979720115662	1.108229637145996	0.11745923012495041	1.5309361219406128	1.1702905893325806	0.005694798193871975	1.3348798751831055	1.91942298412323	0.0024402732960879803	1.3026080131530762	1.4886466264724731	0.005977443419396877
700.0	-11272.662109375	-3492.9609375	-5158.09912109375	-2621.60107421875	0.9546864032745361	1.1234092712402344	0.11746146529912949	1.5176299810409546	1.177568793296814	0.005602490156888962	1.3533629179000854	1.9442682266235352	0.0024513439275324345	1.3026080131530762	1.4886466264724731	0.005977443419396877
800.0	-11284.2529296875	-3499.701904296875	-5162.9453125	-2621.605224609375	0.9579642415046692	1.1367582082748413	0.11746370047330856	1.5031988620758057	1.1853675842285156	0.005502910818904638	1.3746851682662964	1.9701329469680786	0.002470367820933461	1.3026080131530762	1.4886466264724731	0.005977443419396877
900.0	-11295.619140625	-3506.635986328125	-5167.37255859375	-2621.610595703125	0.9612937569618225	1.1488615274429321	0.11746636033058167	1.4876803159713745	1.1936460733413696	0.005396938417106867	1.3976019620895386	1.9971369504928589	0.002486355835571885	1.3026080131530762	1.4886466264724731	0.005977443419396877
1000.0	-11306.8173828125	-3513.681640625	-5171.51953125	-2621.6162109375	0.9646427631378174	1.1600310802459717	0.11746934056282043	1.4710997343063354	1.2023719549179077	0.0052855778485536575	1.4213351011276245	2.025331735610962	0.002499963389709592	1.3026080131530762	1.4886466264724731	0.005977443419396877
1100.0	-11317.8173828125	-3520.738037109375	-5175.4580078125	-2621.62109375	0.9679877161979675	1.1704792976379395	0.1174723207950592	1.4534729719161987	1.211517572402954	0.005169989075511694	1.4453608989715576	2.0547497272491455	0.0025117183104157448	1.3026080131530762	1.4886466264724731	0.005977443419396877
1200.0	-11328.5693359375	-3527.702392578125	-5179.2392578125	-2621.627685546875	0.9713068008422852	1.1803594827651978	0.11747559905052185	1.4348045587539673	1.221061110496521	0.005051553249359131	1.4693254232406616	2.085420846939087	0.0025220594834536314	1.3026080131530762	1.4886466264724731	0.005977443419396877
1300.0	-11339.037109375	-3534.481689453125	-5182.9208984375	-2621.635009765625	0.97458416223526	1.1897871494293213	0.11747932434082031	1.4150958061218262	1.2309842109680176	0.004931866656988859	1.4929916858673096	2.117371082305908	0.0025311345234513283	1.3026080131530762	1.4886466264724731	0.005977443419396877
1400.0	-11349.1181640625	-3540.97119140625	-5186.5048828125	-2621.6416015625	0.9778078198432922	1.198853611946106	0.11748304963111877	1.3943406343460083	1.2412716150283813	0.004812764003872871	1.5162068605422974	2.150620698928833	0.002539228880777955	1.3026080131530762	1.4886466264724731	0.005977443419396877
1500.0	-11358.76171875	-3547.089599609375	-5190.02392578125	-2621.6484375	0.9809703826904297	1.2076332569122314	0.11748713999986649	1.3725310564041138	1.25191068649292	0.004696263000369072	1.5388721227645874	2.185182571411133	0.002546418458223343	1.3026080131530762	1.4886466264724731	0.005977443419396877
